id,hotel_id,user_id,title,content,overall_rating,review_date,helpful_votes,platform,sentiment_score,sentiment_label,confidence,created_at
1,1,269,Review by Carlo,"The room and bathroom are well appointed, the front desk is competent with a smile. 

The garage is spacious so that you don’t fear the dents. Good price and where I had to go was just minutes from the hotel.",4.0,2025-06-17,0,booking_sparkling_awards,4.0,positive,0.5,2025-06-17T10:19:08.305951
2,1,552,Review by Maher,"It's an amazing hotel, and special thanks to Flavia and Manuela for helping us and upgrade our room and providing a late check-out.",3.43,2025-06-17,0,booking_sparkling_awards,3.43,positive,0.21,2025-06-17T10:19:08.305959
3,1,193,Review by Jehad,The hotel was clean and the room was excellent also. They upgrade my room with no extra charges to suit and it was amazing room. And also we give a feedback regarding the breakfast and the staff understand that and solve the issue with professional way. Thanks to all the staff. The parking was also very good in the hotel. | The furniture was having some dust on them which need deep cleaning before the guest will get the room.,3.79,2025-06-17,0,booking_sparkling_awards,3.79,positive,0.4,2025-06-17T10:19:08.305963
4,1,545,Review by Saloni,Loved the breakfast and the room. The staff is very helpful.,3.9,2025-06-17,0,booking_sparkling_awards,3.9,positive,0.45,2025-06-17T10:19:08.305967
5,1,519,Review by Musonda,"I first of all want to thank raddison for their hospitality. We arrived just before 3am as our flight was delayed and not only was it a smooth checkin but they had also upgraded my room to a suite free of charge, at my request of course. I had an issue with the bedding on the first night but that was resolved the next morning and we had a great stay through. My partner really enjoyed his birthday and we will definitely be back. | N/a",3.58,2025-06-17,0,booking_sparkling_awards,3.58,positive,0.29,2025-06-17T10:19:08.305970
6,1,498,Review by Brendan,"Staff v nice, room v nice, facilities quite good. | It is a little far away from the city centre, but there is a tram a few metres away, or a train 5 mins away.",3.54,2025-06-17,0,booking_sparkling_awards,3.54,positive,0.27,2025-06-17T10:19:08.305973
7,1,518,Review by Hassony_h,"Staff were very helpful specially ISMA and MARCO breakfast was excellent and the car park was great.
The location is good but a little far from center. | Cleaning could be better.",3.75,2025-06-17,0,booking_sparkling_awards,3.75,positive,0.37,2025-06-17T10:19:08.305977
8,1,174,Review by Stephen,"We were celebrating our 45th wedding anniversary in this wonderful hotel. We met Clara who checked us in and was just lovely from beginning to the end of our 4 night stay. She told us we had been upgraded to a suite which was really the icing on the cake it was just wonderful.
We had lots of room and we really enjoyed breakfast and dinner at the hotel too. The suite was amazing best room we've ever stayed in. Everything was first class and Clara was so friendly and went out of her way to make our stay just perfect.
Thank you Clara and all the staff for a really memorable stay we'll always remember this very special time at the Raddison Bleu. | Nothing",4.23,2025-06-17,0,booking_sparkling_awards,4.23,positive,0.62,2025-06-17T10:19:08.305980
9,1,141,Review by Diyar,The Staff were very nice. I even got free parking in the Garage | Nothing,4.18,2025-06-17,0,booking_sparkling_awards,4.18,positive,0.59,2025-06-17T10:19:08.305983
10,1,268,Review by Lybia,Everything | Far away from center of Milan,3.0,2025-06-17,0,booking_sparkling_awards,3.0,neutral,0.0,2025-06-17T10:19:08.305987
11,1,332,Review by Varvara,"Ladies on reception were super nice and helpful! 
Room was great as always",4.26,2025-06-17,0,booking_sparkling_awards,4.26,positive,0.63,2025-06-17T10:19:08.305991
12,1,559,Review by Cotea,"Beautiful Hotel, Great Service!",4.85,2025-06-17,0,booking_sparkling_awards,4.85,positive,0.93,2025-06-17T10:19:08.305994
